StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,RecruitmentLength,FLim,FMSY,MSYBtrigger,Fpa,Fmanagement,Bmanagement,FLength,Fcap,ConfidenceIntervalDefinition
san.sa.5r,2021,14051,2693,169250,,,,,,,,,,,,,,NA
san.sa.6,2021,14052,2694,169251,,,,,,,,,,,,,,NA
san.sa.7r,2021,14053,2695,169252,,,,,,,,,,,,,,NA
sbr.27.10,2021,14558,2853,169258,,,,,,,,,,,,,,95%
sdv.27.nea,2021,16703,2761,169290,,,,,,,,,,,,,,NA
sho.27.67,2021,15672,2764,169261,,,,,,,,,,,,,,se
sho.27.89a,2021,16705,2777,169260,,,,,,,,,,,,,,na
sol.27.20-24,2021,15602,2813,169277,1850,1,4-8,2600,,0.315,0.26,2600,0.26,0.26,2600,,,95%
sol.27.4,2021,14338,2735,169278,30828,1,,42838,,0.4196,0.2072,42838,0.311,0.2072,42838,,,2*sd
sol.27.7a,2021,14536,2895,169276,2500,2,4-7,3500,,0.29,0.2,3500,0.22,,,,,NA
sol.27.7d,2021,14317,2825,169274,10811,1,3-7,15135,,0.422,0.193,15135,0.379,0.193,15135,,,95%
sol.27.7e,2021,14506,2822,169275,2000,2,3-9,2900,,0.44,0.29,2900,0.39,,,,,NA
sol.27.7fg,2021,16761,2896,169273,2184,1,3-8,3057,,0.543,0.251,3057,0.402,,,,,95%
sol.27.7h-k,2021,14537,2783,169270,,,,,,,,,,,,,,na
sol.27.8ab,2021,15619,2869,169272,7600,2,3-6,10600,,,0.33,10600,0.88,0.33,10600,,,na
sol.27.8c9a,2021,14505,2849,169271,,,,,,,,,,,,,,na
spr.27.22-32,2021,14142,2874,169279,410000,1,3-5,570000,,0.63,0.31,570000,0.41,0.31,,,,NA
spr.27.3a4,2021,14112,2927,197909,94000,0,Age 1-2,125000,,,,,,,,,0.69,90%
spr.27.67a-cf-k,2021,14175,2706,169280,,,,,,,,,,,,,,NA
spr.27.7de,2021,14079,2707,169281,,,,,,,,,,,,,,NA
syc.27.3a47d,2021,16723,2787,169284,,,,,,,,,,,,,,NA
syc.27.67a-ce-j,2021,16772,2760,169287,,,,,,,,,,,,,,se
syc.27.8abd,2021,16726,2776,169286,,,,,,,,,,,,,,95%
syc.27.8c9a,2021,16686,2725,169285,,,,,,,,,,,,,,NA
syt.27.67,2021,16713,2898,169288,,,,,,,,,,,,,,95%
tur.27.22-32,2021,14145,2885,169293,,,,,,,,,,,,,,NA
tur.27.3a,2021,14552,2719,169294,,,,,,,,,,,,,,95%
tur.27.4,2021,14296,2733,169295,2974,1,,4163,,,0.36,6353,0.86,,,,,95%
usk.27.1-2,2021,14352,2827,169296,,,,,,,,,,,,,,95%
usk.27.3a45b6a7-912b,2021,14348,2831,169299,,,,,,,,,,,,,,95%
usk.27.5a14,2021,14401,2767,169297,4460,3,11,6240,,,,6240,,,6240,,,NA
whb.27.1-91214,2021,16754,2881,169301,1500000,1,3-7,2250000,,0.88,0.32,2250000,0.32,0.32,2.25,,,95%
whg.27.47d,2021,15613,2741,169302,103560,0,,143905,,0.718,0.371,143905,0.385,,,,,95% CI
whg.27.6a,2021,17323,2688,169308,17286,0,1-3,25597,,0.31,0.21,25597,0.21,,,,,95%
whg.27.6b,2021,14485,2796,169307,,,,,,,,,,,,,,NA
whg.27.7a,2021,14474,2893,169305,10000,0,1-3,16300,,0.371,0.219,16300,0.219,,,,,95%
whg.27.7b-ce-k,2021,16877,2736,169303,36571,0,2-5,50818,,0.64,0.375,50818,0.375,,,,,95%
whg.27.89a,2021,14516,2778,169304,,,,,,,,,,,,,,NA
wit.27.3a47d,2021,16770,2864,169309,3077,1,4-8,4381,,0.321,0.147,4381,0.277,,,,,95%
